GeneID,GSM2791577,GSM2791581,GSM2791585,GSM2791589
100287102,0.06983,0.08637,0.08809,0.08322
653635,13.6,9.155,10.9,10.69
102466751,5.937,1.049,6.42,3.033
107985730,0.1072,0.0,0.1352,0.0
100302278,0.0,1.034,0.0,0.0
645520,0.8167,0.6314,1.223,0.6083
79501,0.0,0.3109,0.07926,0.0
100996442,0.8368,0.3644,0.6096,0.6742
729737,5.553,3.245,3.802,5.249
102725121,0.07178,0.08879,0.09056,0.08555
102723897,16.28,11.14,13.22,13.27
102465909,4.241,1.049,6.42,3.033
107985721,0.02131,0.02637,0.0,0.05081
112268260,0.3412,0.2164,0.2318,0.2607
729759,0.0,0.3039,0.0,0.0
100132287,2.996,1.747,2.331,2.91
105378947,0.1477,0.1522,0.1242,0.176
101928626,0.0,0.0,0.0,0.0
113219467,3402.0,376.8,3561.0,764.9
81399,0.01996,0.1234,0.03777,0.03568
100133331,2.146,1.269,1.652,1.947
107984841,2.18,0.7705,0.7858,1.633
107984847,6.065,2.501,1.95,4.11
107984849,1.03,0.7644,1.039,0.982
100288069,2.103,0.6245,1.38,1.354
105378580,0.0898,0.04166,0.1983,0.09365
400728,0.2077,0.0367,0.1123,0.1061
79854,1.182,0.325,2.32,1.096
643837,3.861,3.446,2.939,4.147
107984850,0.0235,0.0,0.02965,0.02801
284593,0.2029,0.1673,0.128,0.1612
284600,0.07475,0.1479,0.05658,0.03564
100130417,0.0,0.0,0.0,0.04564
107985728,0.0,0.0,0.0,0.0
148398,4.962,4.771,3.386,4.705
26155,69.81,65.11,49.14,74.75
339451,4.911,2.591,4.574,4.195
84069,1.699,1.389,0.872,1.716
84808,0.2074,0.2566,0.1409,0.3042
57801,7.57,3.419,8.224,7.948
9636,191.4,380.5,155.8,288.6
375790,26.81,16.35,10.84,21.86
100288175,17.82,12.38,15.91,16.59
112267874,1.024,0.4223,0.9152,0.6612
105378948,4.227,2.614,3.738,3.437
401934,0.06071,0.03755,0.0,0.0
54991,9.368,5.046,8.706,10.2
254099,0.0,0.0,0.04491,0.0
406984,0.0,0.0,0.7659,0.0
406983,0.0,0.0,0.0,0.0
554210,0.0,0.0,0.0,0.0
100506376,0.0,0.01708,0.0,0.0
254173,0.0,0.01661,0.0,0.0
8784,0.02347,0.0,0.0,0.0
7293,0.0,0.0,0.0,0.0
51150,51.97,57.55,38.79,66.04
126792,22.37,15.46,13.88,23.94
388581,0.1762,0.109,0.3335,0.3676
118424,38.71,39.94,31.61,51.64
101928895,1.243,0.427,0.7402,1.399
6339,2.115,0.7008,1.477,1.823
116983,8.045,6.024,5.08,8.81
102465434,0.0,0.0,0.0,0.0
109623456,0.6866,0.8493,1.732,2.455
126789,29.0,28.24,23.55,37.05
54973,43.0,43.39,32.44,42.86
102465435,2.662,1.098,2.239,3.173
80772,14.62,12.06,9.14,17.09
83756,0.4957,0.2374,0.1816,0.324
1855,40.84,20.51,26.71,33.8
102466740,0.0,1.209,1.233,1.165
54587,14.59,13.97,9.662,15.69
54998,119.7,169.2,127.2,193.6
81669,21.24,9.714,21.63,12.94
148413,21.78,16.24,18.48,22.53
55052,94.44,118.7,106.3,130.3
107984868,0.0,0.0,0.0,0.0
441869,0.2072,0.1922,0.1089,0.1029
105378585,0.05064,0.0,0.0,0.0
643965,0.0,0.0,0.0,0.0
102724312,0.0,0.0,0.0,0.05757
107985729,0.0,0.0,0.0,0.0
64856,0.7704,1.255,0.5993,1.194
219293,1.314,1.403,1.224,1.672
83858,12.48,10.45,10.75,13.97
55210,36.15,42.09,28.37,44.25
339453,0.1253,0.2066,0.2108,0.1493
29101,174.6,104.9,179.0,155.4
643988,6.381,1.444,3.254,2.945
105378586,1.311,0.4989,0.8904,1.082
142678,7.028,4.947,4.602,5.667
8510,0.9182,1.058,1.079,0.7958
984,27.64,25.41,21.91,23.44
728661,10.03,5.711,5.582,9.045
8511,0.382,0.07875,0.3212,0.3794
728642,18.06,15.04,16.84,15.3
9906,3.533,2.131,1.954,2.901
112268218,4.144,2.774,2.721,3.958
65220,25.03,14.29,16.43,22.23
2782,223.0,169.5,135.2,235.7
105378949,0.5885,0.4853,0.297,0.5144
163688,0.0,0.0,0.0,0.0
339456,0.3084,0.4578,0.3891,0.07352
85452,0.0,0.05785,0.03933,0.0
107984872,0.0,0.05098,0.0,0.0
105378589,0.0,0.0,0.0,0.0
2563,0.0,0.0,0.01419,0.0
105378590,0.0,0.0,0.0,0.0
105378591,0.0,0.0,0.0,0.0
5590,1.021,0.8448,0.9805,1.104
100506504,0.9206,0.05694,0.813,0.6583
199990,6.927,1.955,6.503,4.469
112268219,1.684,1.042,1.008,0.9008
105378593,0.0,0.0,0.0,0.06667
6497,16.89,14.41,7.894,17.57
79906,0.6231,0.7937,0.5045,0.8978
100129534,0.3592,0.3174,0.06473,0.3669
11079,57.66,65.15,52.12,78.66
5192,19.36,14.22,14.57,22.47
9651,0.9155,0.719,0.3575,0.6408
55229,10.9,7.752,6.672,8.42
388585,0.1685,0.08339,0.04253,0.08035
115110,0.3871,0.2626,0.2363,0.3869
8764,2.397,2.022,1.466,2.525
100996583,0.08263,0.0,0.2085,0.0
127281,17.94,18.56,14.07,25.73
79258,2.048,2.383,1.555,2.875
105378597,0.0,0.0,0.0,0.0
