GeneID,GSM2791576,GSM2791580,GSM2791584,GSM2791588
100287102,0.09217,0.0518,0.1302,0.04108
653635,16.87,11.95,16.3,11.36
102466751,13.43,3.775,9.493,0.998
107985730,0.0,0.0,0.0,0.0
100302278,0.0,0.0,0.0,0.0
645520,0.1347,0.3029,0.3808,0.1802
79501,0.0,0.09322,0.1172,0.0
100996442,0.9489,0.4022,0.7254,0.5269
729737,9.596,5.315,5.444,4.723
102725121,0.09475,0.05325,0.1339,0.0
102723897,20.32,15.16,19.67,13.49
102465909,7.837,2.517,4.746,1.996
107985721,0.02813,0.03162,0.0,0.02508
112268260,0.3695,0.2596,0.359,0.3191
729759,0.08108,0.1823,0.0,0.0
100132287,5.313,2.957,3.619,2.236
105378947,0.13,0.1461,0.2296,0.1738
101928626,0.0,0.0,0.0,0.0
113219467,2849.0,442.3,2931.0,781.9
81399,0.05268,0.04442,0.01861,0.02348
100133331,3.831,2.023,2.417,1.683
107984841,4.111,1.479,1.51,1.539
107984847,8.005,4.411,3.327,4.058
107984849,4.35,0.9169,1.921,1.212
100288069,2.832,0.8739,1.334,0.891
105378580,0.1926,0.01666,0.2094,0.02642
400728,0.1175,0.04402,0.2214,0.1745
79854,2.197,0.5848,1.961,0.4122
643837,3.57,3.114,3.496,3.447
107984850,0.0,0.0,0.0,0.0
284593,0.08925,0.1505,0.1261,0.03978
284600,0.03947,0.02218,0.05577,0.07036
100130417,0.0,0.0,0.07144,0.0
107985728,0.0,0.0,0.0,0.0
148398,4.228,5.924,5.091,6.263
26155,77.84,85.85,80.03,106.4
339451,5.064,3.943,5.745,4.515
84069,1.768,1.688,1.853,2.203
84808,0.1895,0.2131,0.2678,0.2816
57801,11.74,5.259,9.077,3.57
9636,209.4,358.4,155.9,196.0
375790,20.75,16.39,14.68,15.31
100288175,12.66,11.42,8.284,6.619
112267874,0.7041,0.4116,0.4378,0.1757
105378948,2.92,2.374,1.842,1.209
401934,0.0,0.0,0.05662,0.03572
54991,11.39,5.102,9.997,6.027
254099,0.0,0.0,0.0,0.0
406984,0.0,0.0,0.0,0.0
406983,0.0,0.0,0.0,0.0
554210,0.9172,0.0,0.0,0.0
100506376,0.0,0.0,0.0,0.0
254173,0.0,0.01992,0.1002,0.0
8784,0.0,0.0,0.0,0.02762
7293,0.0,0.0,0.0,0.0
51150,47.14,63.67,44.12,62.71
126792,19.0,14.67,18.6,16.02
388581,0.2908,0.0,0.08219,0.05184
118424,40.43,49.51,42.12,47.19
101928895,1.185,0.4609,0.7726,0.8529
6339,1.845,1.149,2.642,1.178
116983,6.979,6.181,6.7,6.958
102465434,0.0,0.0,0.0,0.0
109623456,1.813,0.0,0.0,0.8079
126789,28.74,35.58,34.06,37.97
54973,46.13,48.86,49.43,55.7
102465435,4.685,0.0,0.0,4.176
80772,10.94,12.3,13.73,13.95
83756,0.3377,0.3084,0.2386,0.301
1855,30.88,23.22,39.81,26.59
102466740,0.0,0.0,0.0,1.15
54587,14.65,15.27,13.02,16.73
54998,134.0,204.7,140.8,171.9
81669,42.04,16.11,28.96,13.37
148413,23.13,16.79,22.4,14.36
55052,128.1,137.2,137.9,119.7
107984868,0.0,0.0,0.02791,0.0
441869,0.114,0.1537,0.1933,0.1219
105378585,0.0,0.07513,0.0,0.0
643965,0.0,0.0,0.0,0.0
102724312,0.0,0.07167,0.0,0.05684
107985729,0.0,0.05849,0.0,0.04639
64856,0.7627,1.41,0.503,1.148
219293,1.556,1.307,1.587,1.897
83858,13.82,10.74,15.6,15.2
55210,44.28,56.33,50.57,71.58
339453,0.3308,0.1859,0.3116,0.0
29101,197.1,109.3,195.1,96.61
643988,3.513,1.45,3.85,1.47
105378586,1.464,0.4488,0.5642,0.4746
142678,4.564,3.664,4.396,3.893
8510,1.047,1.115,0.8563,1.007
984,30.94,29.15,29.47,30.24
728661,11.14,6.491,8.316,7.319
8511,0.2521,0.1889,0.1187,0.0749
728642,23.81,18.63,21.94,18.96
9906,3.745,2.299,2.904,2.074
112268218,3.784,3.917,4.289,3.573
65220,25.09,20.2,24.32,21.63
2782,182.7,172.9,199.8,225.6
105378949,0.4143,0.3493,0.4391,0.277
163688,0.0,0.0,0.2396,0.0
339456,1.14,0.3661,1.036,0.2903
85452,0.02058,0.02313,0.04361,0.0
107984872,0.0,0.0,0.0,0.0
105378589,0.01603,0.0,0.0,0.01429
2563,0.0,0.01669,0.0,0.0
105378590,0.0,0.0,0.0,0.0
105378591,0.0,0.0,0.0,0.0
5590,0.6424,0.827,0.9957,0.6835
100506504,0.4861,0.3415,1.202,0.4333
199990,6.629,2.553,7.228,2.466
112268219,1.482,0.9291,1.651,0.9147
105378593,0.0,0.0,0.0,0.0
6497,11.76,11.61,12.29,17.08
79906,0.5401,0.4139,0.6765,0.7988
100129534,0.2371,0.2665,0.2871,0.483
11079,62.43,75.51,67.61,69.25
5192,19.24,15.82,21.34,18.2
9651,0.3453,0.2695,0.3659,0.2137
55229,10.12,8.305,8.713,8.146
388585,0.0,0.0,0.0,0.0
115110,0.3626,0.2594,0.2795,0.2498
8764,2.014,2.443,1.558,1.838
100996583,0.0,0.0,0.0,0.0
127281,15.25,16.16,16.41,20.94
79258,1.787,2.215,1.684,2.124
105378597,0.0,0.0,0.0,0.0
100287898,0.04301,0.01209,0.04559,0.02876
105378603,0.0,0.0,0.0,0.0
105378602,0.0,0.0,0.0,0.0
105378601,0.0,0.0,0.0,0.0
112268220,0.0,0.0,0.0,0.0
107985732,0.0,0.0,0.0,0.0
105378600,0.0,0.0,0.0,0.0
105378598,0.0,0.0,0.0,0.0
107984904,0.0,0.0,0.0,0.0
105378599,0.0,0.0,0.0,0.0
140625,0.0,0.0,0.07487,0.0
440556,0.0,0.06672,0.0,0.0
63976,0.0,0.009838,0.1237,0.0
100422968,0.0,0.0,0.0,0.0
105378606,0.0,0.0,0.0,0.0
107984909,0.0,0.0,0.0,0.0
105378605,0.0,0.0,0.0,0.0
105378604,0.0,0.0,0.0,0.0
27237,0.3451,0.4095,0.2438,0.3076
1953,0.1933,0.237,0.2111,0.1175
105378608,0.0,0.0,0.0,0.0
693135,0.0,0.0,0.0,0.0
105378607,0.0,0.0,0.0,0.0
127262,23.15,27.12,18.51,28.18
49856,25.35,34.53,24.23,32.65
7161,0.9839,1.152,1.487,1.986
105378610,0.0,0.0,0.0,0.0
105378609,0.0,0.0,0.0,0.0
57212,5.791,1.551,4.567,1.493
148870,0.0,0.0,0.05853,0.0
388588,0.6643,0.5974,0.751,0.4737
57470,16.37,21.08,17.3,25.79
9731,5.339,3.878,5.261,5.622
1677,1.758,1.322,1.625,1.779
107984910,0.1676,0.03768,0.1421,0.08965
339448,14.31,8.806,14.06,11.35
100133612,0.078,0.2192,0.3858,0.1391
728716,0.0,0.0,0.0,0.0
105376672,0.0,0.0,0.0,0.0
105376673,0.0,0.02824,0.07101,0.0224
284661,0.0,0.0,0.0,0.0
105376674,0.0,0.0,0.0,0.0
105376679,0.0,0.0,0.1047,0.0
107985376,0.0,0.0,0.0,0.0
55966,0.0,0.0,0.04118,0.0
105376680,0.0,0.0,0.0,0.0
102724429,0.0,0.0,0.0,0.0
105376681,0.0,0.0,0.0,0.0
105376682,0.0,0.0,0.0,0.0
107984911,0.0,0.0,0.0,0.0
105376686,0.0,0.0,0.0,0.0
100616421,0.0,0.0,0.0,0.0
261734,1.859,1.352,1.944,1.584
8514,1.903,2.107,1.786,2.798
26038,0.1082,0.03475,0.1857,0.01378
105376687,0.0,0.0,0.0,0.0
6146,407.2,532.0,429.5,559.3
107985733,9.753,12.11,11.52,7.137
102724450,1.611,0.9056,0.5692,0.7181
388591,0.8246,0.6235,0.6991,0.3876
23463,66.39,41.2,70.18,50.07
148645,1.576,1.094,1.835,0.7853
390992,0.0,0.0,0.1515,0.0
387509,1.61,0.896,1.458,0.7802
11332,88.35,137.2,78.85,117.5
54626,0.1965,0.3213,0.1767,0.207
83715,0.1478,0.127,0.1229,0.1007
100422975,0.0,0.0,0.0,0.0
8718,0.0,0.04466,0.2808,0.03542
57449,0.1658,0.1147,0.1622,0.1137
79707,5.157,3.944,5.462,5.362
80835,0.01789,0.0,0.07583,0.0
107984912,0.0,0.0,0.0,0.0
3104,8.614,7.518,6.731,6.481
9903,21.01,17.95,17.56,23.66
107984913,0.2704,0.08683,0.1637,0.0
148479,12.26,15.18,10.52,17.81
90326,9.648,12.77,10.04,14.33
55735,23.1,29.79,24.69,41.18
100505887,0.0,0.0,0.0,0.0
110841581,0.4137,0.4651,0.5847,0.1229
23261,2.613,0.8823,2.91,0.739
105376692,0.0,0.0,0.0,0.0
102725193,0.0,0.0,0.0,0.0
101928836,0.0,0.0,0.0,0.0
105376691,0.0,0.0,0.3504,0.0
105376689,0.0,0.0,0.01802,0.0
9341,63.17,53.77,64.4,65.85
8863,3.644,2.567,3.897,3.767
10911,0.0,0.0,0.3793,0.0
3604,0.08865,0.02491,0.1723,0.009878
11315,364.8,620.7,371.4,464.0
54206,61.99,58.07,87.82,111.4
107984915,0.0,0.0,0.09906,0.0
102724539,0.1532,0.0,0.4329,0.1365
105376695,0.0,0.0,0.0,0.0
50651,0.2686,0.2013,0.3796,0.0532
473,8.696,6.146,9.353,9.515
102724552,0.0,0.0,0.31,0.0
106632271,0.0,0.0,0.0,0.0
2023,1356.0,1728.0,1313.0,1803.0
102465436,1.711,1.923,1.209,1.525
100505975,3.236,0.9572,1.444,1.366
112268261,0.01234,0.0,0.0,0.011
765,0.0,0.05302,0.3333,0.0
155184,0.0,0.08236,0.2589,0.0
6518,0.03877,0.02905,0.1644,0.02304
80045,2.334,1.0,1.958,1.04
106614088,0.05494,0.02059,0.07764,0.04897
407040,0.6921,0.0,0.0,0.0
102724571,0.0,0.0,0.1096,0.0
9563,2.583,2.752,2.204,2.905
80176,7.745,8.431,9.352,10.71
100506022,0.09368,0.2457,0.1765,0.1948
84275,12.52,6.556,11.89,5.606
199953,4.321,3.733,5.008,6.708
107985734,0.7599,0.6212,0.4881,0.9853
105376712,0.0,0.1936,0.0,0.0
5293,3.596,3.569,4.147,4.942
644997,0.0,0.0,0.0,0.07445
101929074,0.2384,0.1787,0.2246,0.07084
22883,34.02,30.86,29.52,41.77
56998,19.79,10.22,19.09,9.811
105376717,9.575,4.411,10.2,4.198
84328,13.76,15.72,15.03,16.88
64802,2.973,2.929,2.372,2.679
113391335,0.0,0.1927,0.0,0.0
100847055,0.0,0.0,0.0,0.0
116362,0.0,0.0,0.2562,0.0
10277,10.66,9.526,10.67,13.7
23095,4.024,2.786,3.548,5.157
